dateTime,spotID,lat,long,speed,dist,station
2018-07-05T16:56:15Z,0-2572498,48.35825,-126.74553,0.133603535,0.062608101,1
2018-07-05T16:59:36Z,0-2573760,48.35831,-126.74562,0.168964545,0.009433854,1
2018-07-05T17:27:53Z,0-2572498,48.35838,-126.74609,0.075711353,0.035689491,1
2018-07-05T17:30:35Z,0-2573760,48.35839,-126.74614,0.085969027,0.003868606,1
2018-07-05T17:55:52Z,0-2572498,48.35838,-126.74684,0.123132906,0.051886839,1
2018-07-05T17:56:44Z,0-2573760,48.35838,-126.74689,0.256524365,0.003705352,1
2018-07-05T18:25:50Z,0-2572498,48.35863,-126.7478,0.15039656,0.072942332,1
2018-07-05T18:28:36Z,0-2573760,48.35866,-126.74789,0.161725423,0.007457339,1
2018-07-05T18:55:40Z,0-2572498,48.35896,-126.7485,0.124539457,0.056181133,1
2018-07-05T18:56:44Z,0-2573760,48.35894,-126.74847,0.17688361,0.003144598,1
2018-07-05T19:25:40Z,0-2572498,48.35922,-126.74884,0.086034109,0.041487559,1
2018-07-05T19:55:23Z,0-2572498,48.35932,-126.74918,0.055606367,0.027540598,1
2018-07-05T19:58:53Z,0-2573760,48.35881,-126.74909,0.978882322,0.057101469,1
2018-07-05T20:28:00Z,0-2572498,48.35948,-126.74944,0.162562463,0.078887951,1
2018-07-05T20:28:53Z,0-2573760,48.35954,-126.74943,0.455968371,0.006712868,1
2018-07-05T20:55:18Z,0-2572498,48.35968,-126.74979,0.070155426,0.030887875,1
2018-07-05T20:58:53Z,0-2573760,48.35971,-126.74986,0.103268407,0.006167419,1
2018-07-05T21:25:15Z,0-2572498,48.36,-126.75041,0.118267164,0.051971848,1
2018-07-05T21:28:06Z,0-2573760,48.36003,-126.75047,0.117022651,0.005558576,1
2018-07-05T21:55:53Z,0-2573760,48.36044,-126.75131,0.166627167,0.077157636,1
2018-07-05T21:56:35Z,0-2572498,48.36044,-126.75134,0.190553274,0.002223122,1
2018-07-05T22:25:35Z,0-2572498,48.36084,-126.75218,0.158287144,0.076505453,1
2018-07-05T22:25:54Z,0-2573760,48.36085,-126.75218,0.210689692,0.001111973,1
