UTC,Latitude,Longitude,species,shipin10km,sst_mean,curl_mean,dist2slope,depth,bathy_slope,dist2shore,chlorophyll_mean,ssh_mean,mldDepth,mldTemp,ttDepth,ttTemp,temp400,sal400,TOL_125,TOL_2000,Wpresence
2018-11-05T14:14:36Z,29.46011,-118.39453,NA,0,20.36,-0.03446565940976143,24324.302989144053,3428,0.7049101871443645,31,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,95.153456,80.538566,0
2018-11-05T14:15:53Z,29.46019,-118.39454999999998,NA,0,20.36,-0.03446565940976143,24324.302989144053,3428,0.7049101871443645,31,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,95.153456,80.538566,0
2018-11-05T14:47:32Z,29.46246,-118.39368000000002,NA,0,20.36,-0.03446565940976143,24324.302989144053,3431,0.7049101871443645,31,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,77.388621,70.464923,0
2018-11-05T14:47:56Z,29.46249,-118.39359999999999,NA,0,20.36,-0.03446565940976143,24324.302989144053,3431,0.7049101871443645,31,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,76.044815,71.040616,0
2018-11-05T15:15:00Z,29.4648,-118.39341999999999,NA,0,20.36,-0.12351696938276291,24324.302989144053,3449,1.1860226026574359,31,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,78.063533,74.201171,0
2018-11-05T15:15:52Z,29.46487,-118.39339000000001,NA,0,20.36,-0.12351696938276291,24324.302989144053,3449,1.1860226026574359,31,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,78.063533,74.201171,0
2018-11-05T15:43:50Z,29.4675,-118.39294000000001,NA,0,20.363,-0.12351696938276291,24324.302989144053,3449,0.6619385844657258,32,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,76.214677,75.357907,0
2018-11-05T16:13:37Z,29.47035,-118.39233000000002,NA,0,20.363,-0.12351696938276291,24324.302989144053,3461,0.6619385844657258,32,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,77.886175,77.179445,0
2018-11-05T16:15:53Z,29.470580000000002,-118.3923,NA,0,20.363,-0.12351696938276291,24324.302989144053,3461,0.6619385844657258,32,0.18916071951389313,-0.0235,31.441484119895534,19.378000008454546,48.338383550520525,16.281499851879197,6.991999382153153,34.25900067726616,77.886175,77.179445,0
2018-11-05T16:43:27Z,29.47342,-118.39195000000001,NA,0,20.363,-0.12351696938276291,24324.302989144053,3474,0.3748274381705968,32,0.18916071951389313,-0.0235,32.97423865340774,19.425000010686926,50.23851564930682,16.329999854182823,7.044999384670518,34.25800067721866,77.471864,77.10578,0
2018-11-05T16:44:59Z,29.47357,-118.39195000000001,NA,0,20.363,-0.12351696938276291,24324.302989144053,3474,0.3748274381705968,32,0.18916071951389313,-0.0235,32.97423865340774,19.425000010686926,50.23851564930682,16.329999854182823,7.044999384670518,34.25800067721866,77.471864,77.10578,0
2018-11-05T17:13:18Z,29.47655,-118.39148,NA,0,20.364,-0.12351696938276291,24324.302989144053,3474,2.295738167554115,33,0.18916071951389313,-0.0235,32.97423865340774,19.425000010686926,50.23851564930682,16.329999854182823,7.044999384670518,34.25800067721866,76.849795,77.052962,0
2018-11-05T17:14:03Z,29.47663,-118.39143000000001,NA,0,20.364,-0.12351696938276291,24324.302989144053,3474,2.295738167554115,33,0.18916071951389313,-0.0235,32.97423865340774,19.425000010686926,50.23851564930682,16.329999854182823,7.044999384670518,34.25800067721866,76.849795,77.052962,0
2018-11-05T17:44:31Z,29.48011,-118.39042999999998,NA,0,20.364,-0.12351696938276291,26516.910369195706,3492,4.561842694682023,33,0.18916071951389313,-0.0235,32.71541928572586,19.37200000816956,49.049352520238934,16.274499851546715,6.981999381678179,34.25500067707617,77.384831,75.610256,0
2018-11-05T17:45:06Z,29.48017,-118.39038,NA,0,20.364,-0.12351696938276291,26516.910369195706,3492,4.561842694682023,33,0.18916071951389313,-0.0235,32.71541928572586,19.37200000816956,49.049352520238934,16.274499851546715,6.981999381678179,34.25500067707617,77.384831,75.610256,0
2018-11-05T18:12:52Z,29.48345,-118.38889,NA,0,20.364,-0.12351696938276291,26516.910369195706,3518,2.9325136601683006,33,0.18916071951389313,-0.0235,32.71541928572586,19.37200000816956,49.049352520238934,16.274499851546715,6.981999381678179,34.25500067707617,76.236297,76.873333,0
2018-11-05T18:13:59Z,29.48358,-118.38878,NA,0,20.364,-0.12351696938276291,26516.910369195706,3518,2.9325136601683006,33,0.18916071951389313,-0.0235,32.71541928572586,19.37200000816956,49.049352520238934,16.274499851546715,6.981999381678179,34.25500067707617,76.236297,76.873333,0
2018-11-05T18:42:48Z,29.48692,-118.38673,NA,0,20.366,-0.12351696938276291,26516.910369195706,3547,2.946568476754888,34,0.18916071951389313,-0.0235,32.71541928572586,19.37200000816956,49.049352520238934,16.274499851546715,6.981999381678179,34.25500067707617,78.286941,78.071864,0
