"dateTime","lat.x","long","station","BB_20.24000","TOL_63","TOL_125","TOL_2000","TOL_5000","TOL_20000","species","BWpresence","Latitude","Longitude","UTC","sst_mean","dist_slope","depth","slope","dist_shore","chlorophyll_mean","ssh_mean","mldDepth","mldTemp","ttDepth","ttTemp","temp400","sal400"
2018-09-13 00:40:00,35.86957,-126.84514,8,98.458328,87.579485,81.451317,83.185474,79.655215,73.542012,NA,0,35.86957,-126.84514,2018-09-13 00:40:00,18.609,336108.489681142,4684,0.0150429351455805,414,0.100305274128914,0.0401,37.7668758320331,17.4639999175444,53.3925716573605,14.5902497715491,5.96899933356326,34.0850006690016
2018-09-13 01:00:00,35.86846,-126.8436,8,99.027666,87.282256,81.45261,83.841806,79.670583,73.456025,NA,0,35.86846,-126.8436,2018-09-13 01:00:00,18.585,336108.489681142,4701,0.0150429351455805,414,0.100305274128914,0.0401,37.7668758320331,17.4639999175444,53.3925716573605,14.5902497715491,5.96899933356326,34.0850006690016
2018-09-13 01:40:00,35.86711,-126.84106,8,98.905273,88.553213,82.942383,81.803672,78.082553,71.832357,NA,0,35.86711,-126.84106,2018-09-13 01:40:00,18.585,336108.489681142,4701,0.0150429351455805,414,0.100305274128914,0.0401,38.3362908695743,17.424999915692,54.6941270106161,14.5694997705636,6.00299933517817,34.0820006688591
2018-09-13 02:00:00,35.86546,-126.83876,8,100.455006,88.241107,83.30013,81.692329,77.929842,71.81893,NA,0,35.86546,-126.83876,2018-09-13 02:00:00,18.585,336108.489681142,4697,0.012441269687507,414,0.100305274128914,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 02:20:00,35.86326,-126.83638,8,99.655567,88.770116,83.0195,81.682831,77.827505,71.584468,NA,0,35.86326,-126.83638,2018-09-13 02:20:00,18.591,336108.489681142,4717,0.012441269687507,414,0.100305274128914,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 03:00:00,35.86062,-126.83409,8,101.096368,90.906511,85.159538,81.491029,77.657348,71.448394,NA,0,35.86062,-126.83409,2018-09-13 03:00:00,18.576,336108.489681142,4712,0.012441269687507,414,0.100305274128914,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 03:20:00,35.85801,-126.8322,8,103.384911,89.780151,85.945703,81.274696,77.364637,70.986075,NA,0,35.85801,-126.8322,2018-09-13 03:20:00,18.576,329141.215758131,4731,0.0295558245796324,414,0.111281909048557,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 04:00:00,35.85549,-126.8304,8,99.370571,88.791403,81.942429,81.873263,77.659929,71.399634,"ZC",1,35.85549,-126.8304,2018-09-13 04:00:00,18.576,329141.215758131,4742,0.0295558245796324,414,0.111281909048557,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 04:00:00,35.85549,-126.8304,8,99.370571,88.791403,81.942429,81.873263,77.659929,71.399634,"ZC",1,35.85549,-126.8304,2018-09-13 04:00:00,18.576,329141.215758131,4742,0.0295558245796324,414,0.111281909048557,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 04:20:00,35.85367,-126.82896,8,99.888433,89.873273,82.539841,82.386016,77.399277,70.677093,NA,0,35.85367,-126.82896,2018-09-13 04:20:00,18.583,329141.215758131,4742,0.0295558245796324,414,0.111281909048557,0.0401,38.6747622069802,17.4029999146471,54.7634320088335,14.5529997697799,6.00299933517817,34.0880006691441
2018-09-13 05:00:00,35.85139,-126.82752,8,100.674663,89.494335,83.118152,83.731151,78.761721,71.935158,NA,0,35.85139,-126.82752,2018-09-13 05:00:00,18.583,329141.215758131,4762,0.0295558245796324,414,0.111281909048557,0.0401,38.1913041826176,17.3769999134121,53.8544198824131,14.530749768723,5.9919993346557,34.0890006691916
2018-09-13 05:20:00,35.84933,-126.82666,8,101.6297,88.802812,84.19873,84.555804,79.404186,71.539092,NA,0,35.84933,-126.82666,2018-09-13 05:20:00,18.583,329141.215758131,4752,0.0338609618292365,414,0.111281909048557,0.0401,38.1913041826176,17.3769999134121,53.8544198824131,14.530749768723,5.9919993346557,34.0890006691916
2018-09-13 06:00:00,35.8477,-126.82622,8,102.63537,92.219647,84.260574,84.855726,81.820718,73.520845,NA,0,35.8477,-126.82622,2018-09-13 06:00:00,18.583,329141.215758131,4777,0.0338609618292365,414,0.111281909048557,0.0401,38.1913041826176,17.3769999134121,53.8544198824131,14.530749768723,5.9919993346557,34.0890006691916
2018-09-13 06:20:00,35.84584,-126.8257,8,106.835959,91.169087,85.132116,92.828733,91.376089,95.416079,NA,0,35.84584,-126.8257,2018-09-13 06:20:00,18.583,329141.215758131,4777,0.0338609618292365,414,0.111281909048557,0.0401,38.1913041826176,17.3769999134121,53.8544198824131,14.530749768723,5.9919993346557,34.0890006691916
2018-09-13 07:00:00,35.8443,-126.82558,8,101.816381,92.452149,84.886255,84.445468,79.32509,72.97636,NA,0,35.8443,-126.82558,2018-09-13 07:00:00,18.592,329141.215758131,4777,0.0338609618292365,415,0.111281909048557,0.0401,38.1913041826176,17.3769999134121,53.8544198824131,14.530749768723,5.9919993346557,34.0890006691916
2018-09-13 07:20:00,35.8427,-126.82547,8,99.25952,87.976737,83.129723,82.809382,79.240844,73.111047,NA,0,35.8427,-126.82547,2018-09-13 07:20:00,18.592,329141.215758131,4783,0.0338609618292365,415,0.111281909048557,0.0401,38.1913041826176,17.3769999134121,53.8544198824131,14.530749768723,5.9919993346557,34.0890006691916
2018-09-13 08:00:00,35.84129,-126.82576,8,100.550835,93.138885,83.372541,83.109061,79.702085,73.501807,NA,0,35.84129,-126.82576,2018-09-13 08:00:00,18.592,329141.215758131,4783,0.0338609618292365,415,0.111281909048557,0.0401,37.7644054048214,17.3659999128897,52.7864581049802,14.5152497679868,5.96299933327828,34.0910006692866
2018-09-13 08:20:00,35.84004,-126.82687,8,99.40035,87.236385,84.447532,82.802597,79.328904,73.104347,NA,0,35.84004,-126.82687,2018-09-13 08:20:00,18.592,329141.215758131,4783,0.0338609618292365,415,0.111281909048557,0.0401,37.7644054048214,17.3659999128897,52.7864581049802,14.5152497679868,5.96299933327828,34.0910006692866
2018-09-13 09:00:00,35.8394,-126.82828,8,97.941815,85.472265,81.150854,82.143706,78.481186,72.320097,NA,0,35.8394,-126.82828,2018-09-13 09:00:00,18.592,329141.215758131,4807,0.0338609618292365,415,0.111281909048557,0.0401,37.7644054048214,17.3659999128897,52.7864581049802,14.5152497679868,5.96299933327828,34.0910006692866
2018-09-13 09:20:00,35.83962,-126.82933,8,98.37869,86.551471,81.29112,82.734572,79.442462,73.390478,NA,0,35.83962,-126.82933,2018-09-13 09:20:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0401,37.7644054048214,17.3659999128897,52.7864581049802,14.5152497679868,5.96299933327828,34.0910006692866
2018-09-13 10:00:00,35.84041,-126.83035,8,99.159827,87.328111,83.138897,82.852906,79.396283,73.312622,NA,0,35.84041,-126.83035,2018-09-13 10:00:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0401,37.7644054048214,17.3659999128897,52.7864581049802,14.5152497679868,5.96299933327828,34.0910006692866
2018-09-13 10:20:00,35.84062,-126.83078,8,99.167444,87.572632,83.564623,83.242167,79.705474,73.350249,NA,0,35.84062,-126.83078,2018-09-13 10:20:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0401,37.7644054048214,17.3659999128897,52.7864581049802,14.5152497679868,5.96299933327828,34.0910006692866
2018-09-13 11:00:00,35.84098,-126.83102,8,100.216137,90.225401,84.04201,82.843249,79.269737,73.075476,NA,0,35.84098,-126.83102,2018-09-13 11:00:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0401,37.7777776341725,17.2939999094699,52.562597586084,14.4534997650539,5.93199933180586,34.0940006694291
2018-09-13 11:20:00,35.84076,-126.83098,8,99.702564,88.075873,84.401699,82.096731,78.376574,72.089158,NA,0,35.84076,-126.83098,2018-09-13 11:20:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0401,37.7777776341725,17.2939999094699,52.562597586084,14.4534997650539,5.93199933180586,34.0940006694291
2018-09-13 12:00:00,35.84055,-126.83098,8,99.072533,87.780308,84.782717,82.32114,78.765419,71.959065,NA,0,35.84055,-126.83098,2018-09-13 12:00:00,18.592,329141.215758131,4793,0.0338609618292365,415,0.111281909048557,0.0401,37.7777776341725,17.2939999094699,52.562597586084,14.4534997650539,5.93199933180586,34.0940006694291
2018-09-13 12:20:00,35.84029,-126.83147,8,99.508171,87.58459,85.61676,83.71667,80.304941,72.258597,NA,0,35.84029,-126.83147,2018-09-13 12:20:00,18.592,329141.215758131,4799,0.0338609618292365,415,0.111281909048557,0.0358,37.7777776341725,17.2939999094699,52.562597586084,14.4534997650539,5.93199933180586,34.0940006694291
