"dateTime","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000"
2018-08-16 04:40:00,85.745389,86.666111,87.833987,88.262382,86.016913,84.911436,84.098468,81.766666,78.981115,76.140125,75.913213,75.539635,75.234764,74.55943,74.809246,75.124397,74.977584,74.677953,73.180161,71.121147,69.92744,69.377734,68.379526,66.917286,65.971018,65.351661,64.155143,63.496569,63.657357,61.256825
2018-08-16 05:00:00,85.739762,85.14886,86.943245,87.704789,87.336792,85.16946,83.299265,81.139394,77.888088,76.058444,75.728036,75.433161,74.920085,74.669697,74.63901,74.638664,74.496616,74.213372,72.467809,70.587136,69.591819,69.063091,68.125037,66.715704,65.849094,65.002799,63.958547,63.199099,63.322379,61.079947
2018-08-16 05:20:00,86.476665,85.343723,85.819603,86.35302,85.125169,84.282807,82.384925,80.865881,77.78477,75.913154,75.365784,76.024947,75.491123,74.692299,74.565408,74.663258,74.375365,74.031963,72.255267,69.885865,68.317756,67.522994,66.350551,64.695222,63.355984,62.392021,61.106178,60.497096,60.630129,58.608054
2018-08-16 05:40:00,86.765782,85.60799,86.954096,87.081236,85.196468,83.867473,82.945955,79.409166,77.337545,75.740439,75.512697,75.829769,75.498123,74.317897,74.502364,74.718351,74.606021,74.153635,72.326833,69.190987,67.460394,66.692607,65.540743,63.343112,61.616352,60.438989,59.2683,58.760569,59.085107,57.084039
2018-08-16 06:00:00,85.858226,86.065316,85.935822,86.949328,85.484227,84.770176,83.082944,80.209977,78.197528,75.267223,74.805077,76.44951,76.549128,75.035503,75.260953,75.100707,75.182729,74.883575,73.019622,70.205847,68.617944,67.988384,66.897796,64.970869,63.745728,62.88446,61.739913,61.208705,61.382634,59.124956
2018-08-16 06:20:00,86.515715,86.303397,87.332846,87.02785,85.107411,84.479636,82.813899,80.446029,78.63645,76.00898,74.97458,77.599878,75.086309,73.871131,74.664266,74.91446,74.924699,74.693799,72.896597,70.040857,68.622931,68.018957,66.861363,64.663651,63.195835,62.297548,61.163018,60.392724,60.791207,58.614385
2018-08-16 06:40:00,89.122399,87.236195,86.520686,86.922998,85.15859,84.758509,82.052784,80.008608,77.581376,75.546174,78.408269,75.055535,75.058139,74.911101,75.272853,75.508911,75.453208,75.167545,74.011766,72.51989,71.834626,71.510365,70.727912,69.534507,68.727806,68.192222,67.117541,66.363522,66.456767,64.010128
2018-08-16 07:00:00,89.505147,88.569397,87.340883,87.088149,86.179587,84.984472,83.667685,81.364251,78.381171,76.748833,78.354919,76.738297,77.306479,76.016352,75.79128,75.637411,75.372585,75.089584,73.855647,72.357187,71.432711,70.900681,70.014573,68.529939,67.494943,66.760561,65.570686,64.84564,64.848593,62.466898
2018-08-16 07:20:00,91.640869,89.823074,87.891889,87.959019,85.157418,85.559021,84.891838,82.215233,79.729554,77.734341,81.025512,78.920513,76.336718,76.34111,76.94475,76.70947,76.358575,76.032142,75.157279,74.042451,73.251482,72.923247,72.148834,71.098091,70.175884,69.605614,68.57124,67.905452,68.096063,65.694888
2018-08-16 07:40:00,96.590353,95.788187,91.261759,89.661051,86.568285,85.911363,85.038686,82.494625,80.168885,79.69075,79.058698,80.982483,79.101725,78.023018,78.26994,77.692392,77.467997,76.94804,75.909119,74.820316,74.109223,73.806879,73.367934,72.266798,71.586364,71.799009,72.492527,74.232967,78.313503,80.214909
2018-08-16 08:00:00,93.884549,91.459256,89.205704,87.797902,86.180231,86.134206,85.721351,82.695181,79.071367,78.547973,79.99389,79.951538,77.671161,76.879578,76.757397,76.08911,75.525786,75.379475,74.110158,72.677685,71.676383,71.364813,72.729625,70.711415,68.08396,67.128406,66.122709,65.612379,66.045309,64.005068
2018-08-16 08:20:00,93.547571,91.349096,89.120291,88.608297,86.090146,87.893647,86.489648,83.639654,79.974009,78.115808,78.312689,80.844152,78.967247,77.465399,79.405639,77.585747,76.836191,76.40912,75.30937,74.102377,73.445147,73.133714,72.823867,71.584452,70.403161,69.917098,69.243696,69.645132,71.396012,70.8302
2018-08-16 08:40:00,95.642117,93.597132,91.280951,89.940029,86.814126,86.887588,84.4691,85.33102,80.66728,79.056166,80.265974,81.339286,80.115336,79.228912,78.867073,78.872385,77.937679,77.043165,76.113478,74.716074,73.848922,73.307731,72.811322,71.522465,70.298878,69.592254,68.411024,67.712257,67.773187,65.378564
2018-08-16 09:00:00,95.111727,93.024127,91.371194,90.402273,88.0896,86.945535,85.762146,83.720999,80.831785,77.588465,77.410704,78.861474,78.387031,76.892697,77.841708,77.183987,76.684199,76.449112,75.523313,74.34072,73.531818,72.974432,72.326123,70.886572,69.412576,68.490845,67.253152,66.648684,66.707691,64.566602
2018-08-16 09:20:00,92.498272,89.363345,88.487662,88.284985,86.237928,85.538567,84.162141,84.086054,80.576109,78.333652,79.634282,81.419091,77.927828,77.359864,78.807887,78.445733,78.131114,78.005401,77.22449,76.404575,75.962087,75.565713,74.930079,73.940229,73.112802,72.553711,71.506465,70.693161,70.75137,68.251526
2018-08-16 09:40:00,85.614326,87.51172,86.736845,87.680334,86.612067,85.59183,83.251986,81.459722,79.284042,77.738847,78.583662,79.083288,77.692898,77.617221,78.795768,78.758684,78.736463,78.734697,78.145752,77.185367,76.791573,76.376403,75.932161,74.91611,73.823517,73.292914,72.212507,71.48345,71.622538,69.173046
2018-08-16 10:00:00,89.047176,87.938292,88.813527,89.294951,87.683995,86.81828,83.709616,81.271609,78.912885,76.657387,77.257675,77.004052,78.074141,78.21705,79.464069,80.376035,80.907653,81.135133,80.143755,78.872727,78.357576,78.207324,80.594297,80.599771,76.385454,75.403633,74.430201,74.149805,75.252772,74.855382
2018-08-16 10:20:00,89.229278,88.927294,87.34211,89.91069,88.074724,87.061948,84.020255,80.481011,77.723049,76.234596,76.806893,76.931878,77.982637,78.061507,78.9577,79.418776,79.355626,79.283688,78.532243,77.743845,77.21955,76.891529,76.586183,75.577684,74.33617,73.705553,72.637045,71.877681,72.002564,69.608463
2018-08-16 10:40:00,87.649565,88.634681,89.456841,90.336903,89.802057,88.30685,85.292296,81.312716,77.668127,76.995018,77.053003,77.044749,77.736254,78.214301,78.904131,79.396582,79.454748,79.595807,78.82564,77.810609,77.332297,77.03695,77.214914,76.065754,74.425333,73.879861,73.113097,73.002071,73.697346,72.642914
2018-08-16 11:00:00,85.58798,86.472937,89.147492,88.294294,87.081649,86.510486,82.754207,79.452352,77.466348,75.74888,75.651139,76.205689,76.624051,76.904877,77.778722,78.357635,78.620126,78.514877,77.3885,76.163673,75.666083,75.3492,75.643127,75.021667,72.653114,71.733232,70.816812,70.264412,70.74777,68.592377
2018-08-16 11:20:00,86.866584,88.169383,88.820409,88.255428,87.112542,86.358373,83.166689,80.919551,77.51464,76.440491,83.077889,76.45193,76.988711,76.810812,77.245243,77.812878,77.653312,77.469739,76.263395,75.071492,74.688433,74.287752,73.648136,72.631567,71.185199,70.374813,69.339174,68.522543,68.566205,66.040358
2018-08-16 11:40:00,89.550287,89.774185,89.761628,89.23471,87.914154,85.71139,83.199601,81.489518,78.667791,76.896672,78.138978,76.290137,77.030837,76.857422,77.428165,77.866587,77.659231,77.501718,76.537306,75.596082,75.204799,74.759388,74.12412,73.017564,72.086715,71.480504,70.424108,69.568549,69.629387,67.117341
2018-08-16 12:00:00,87.890528,89.479382,89.313765,89.428506,88.494117,86.598714,83.574669,80.967934,78.860862,77.472669,77.557322,77.455448,77.93756,77.485373,77.665529,77.878776,77.738756,77.055392,75.806889,74.403841,73.848645,73.486928,72.703566,71.674823,70.590405,70.020528,69.297019,69.606098,72.169786,71.825114
2018-08-16 12:20:00,87.185712,87.033187,88.020535,88.651922,86.614456,86.155705,83.806409,80.911876,77.938227,77.398542,77.020033,77.230541,77.625266,76.722515,76.946976,77.075664,76.984017,76.675298,75.593757,73.890164,73.293229,72.900521,74.340489,73.007252,69.905789,68.825473,67.565025,66.845048,67.231522,65.071111
2018-08-16 12:40:00,89.14926,87.707458,88.252169,89.088681,87.094964,85.933075,83.269585,80.445296,77.809576,76.585572,77.325273,77.039752,76.778004,76.088203,76.492665,76.841615,76.770004,76.561828,75.710613,74.514535,74.080584,73.794031,73.524133,72.969242,71.12186,70.416495,69.502818,68.884282,69.621585,68.242865
2018-08-16 13:00:00,86.88574,86.053207,87.760242,87.978439,86.254042,84.841105,82.060658,79.299454,78.020871,76.51062,88.418035,77.47035,77.365959,78.036432,77.614571,77.687189,77.986384,77.602407,77.020245,76.030005,75.621747,75.402862,75.787388,76.025917,73.305118,72.411998,71.289925,70.61501,70.950905,68.668291
2018-08-16 13:20:00,85.577817,86.570307,87.087389,87.518359,86.410976,84.611919,82.001322,78.796715,78.188014,75.810816,80.790034,76.280259,75.715066,75.397788,75.387699,75.447681,75.318981,75.097172,74.531916,73.506781,72.879475,72.49164,71.60429,70.628585,69.712847,69.381513,68.42649,67.855364,68.918886,67.744349
2018-08-16 13:40:00,84.222323,85.502584,86.907008,87.589816,87.057978,85.424642,82.177777,78.99826,77.883385,76.205073,80.070576,77.920026,77.668982,77.040885,77.019179,77.053786,77.131171,76.803614,76.438333,75.906206,75.624223,75.364388,74.704267,73.767958,73.254765,72.882485,71.927488,71.075969,70.930441,68.481141
2018-08-16 14:00:00,84.715928,86.124493,87.569316,89.665469,87.823951,85.848525,83.20366,80.500448,78.989127,77.734003,83.988048,78.942929,78.008671,77.454942,77.461275,77.293042,76.185649,75.092749,74.320909,73.534564,72.832763,72.270863,71.474342,70.467623,69.874249,69.591337,68.506368,67.737259,67.534585,65.065011
2018-08-16 14:20:00,84.775565,86.056325,88.206418,88.558991,88.345362,86.63199,82.596672,81.150584,79.803417,77.802697,84.067441,77.601057,76.803864,75.688849,74.395209,73.683164,72.001052,71.07494,70.076716,68.944616,67.869753,67.026309,65.546198,63.892705,62.573438,61.907675,61.460299,61.2181,59.912539,57.651972
2018-08-16 14:40:00,90.629421,89.602021,88.213003,89.371635,87.701591,86.44027,82.499459,80.301829,78.040354,76.690735,81.807845,75.808155,75.134532,74.646178,73.772814,74.504716,71.652093,70.905666,70.045529,69.143014,68.506957,68.029208,66.82115,65.292173,63.977494,62.999202,61.725098,60.820836,60.910663,58.760512
