yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-23T16:04:55.000Z, 96.739968
2018-08-23T16:24:55.000Z, 97.253712
2018-08-23T16:44:55.000Z, 97.288992
2018-08-23T17:04:55.000Z, 96.963029
2018-08-23T17:24:55.000Z, 96.700897
2018-08-23T17:44:55.000Z, 96.457962
2018-08-23T18:04:55.000Z, 97.260353
2018-08-23T18:24:55.000Z, 96.629192
2018-08-23T18:44:55.000Z, 96.980404
2018-08-23T19:04:55.000Z, 97.640159
2018-08-23T19:24:55.000Z, 97.749942
2018-08-23T19:44:55.000Z, 97.820213
2018-08-23T20:04:55.000Z, 96.906720
2018-08-23T20:24:55.000Z, 96.784656
2018-08-23T20:44:55.000Z, 97.551881
2018-08-23T21:04:55.000Z, 96.898854
2018-08-23T21:24:55.000Z, 97.477294
2018-08-23T21:44:55.000Z, 97.459495
2018-08-23T22:04:55.000Z, 96.644185
2018-08-23T22:24:55.000Z, 98.175742
2018-08-23T22:44:55.000Z, 97.394666
2018-08-23T23:04:55.000Z, 96.011537
2018-08-23T23:24:55.000Z, 97.485504
2018-08-23T23:44:55.000Z, 97.231494
2018-08-24T00:04:55.000Z, 97.526917
2018-08-24T00:24:55.000Z, 96.730193
2018-08-24T00:44:55.000Z, 97.060922
2018-08-24T01:04:55.000Z, 97.103720
2018-08-24T01:24:55.000Z, 99.033003
2018-08-24T01:44:55.000Z, 97.103708
2018-08-24T02:04:55.000Z, 97.107278
2018-08-24T02:24:55.000Z, 96.967218
2018-08-24T02:44:55.000Z, 97.219470
2018-08-24T03:04:55.000Z, 97.141261
2018-08-24T03:24:55.000Z, 99.481290
2018-08-24T03:44:55.000Z, 98.019950
2018-08-24T04:04:55.000Z, 99.057589
2018-08-24T04:24:55.000Z, 98.537437
2018-08-24T04:44:55.000Z, 98.356941
2018-08-24T05:04:55.000Z, 97.183479
2018-08-24T05:24:55.000Z, 98.223339
2018-08-24T05:44:55.000Z, 98.012954
2018-08-24T06:04:55.000Z, 99.269360
2018-08-24T06:24:55.000Z, 98.894901
2018-08-24T06:44:55.000Z, 98.515264
2018-08-24T07:04:55.000Z, 99.736252
2018-08-24T07:24:55.000Z, 100.163329
2018-08-24T07:44:55.000Z, 100.286772
2018-08-24T08:04:55.000Z, 97.224055
2018-08-24T08:24:55.000Z, 97.739598
2018-08-24T08:44:55.000Z, 99.371071
2018-08-24T09:04:55.000Z, 98.413306
2018-08-24T09:24:55.000Z, 99.296288
2018-08-24T09:44:55.000Z, 99.559693
2018-08-24T10:04:55.000Z, 99.275682
2018-08-24T10:24:55.000Z, 99.240885
2018-08-24T10:44:55.000Z, 99.685000
2018-08-24T11:04:55.000Z, 99.669185
2018-08-24T11:24:55.000Z, 100.474020
2018-08-24T11:44:55.000Z, 99.812534
2018-08-24T12:04:55.000Z, 100.163610
2018-08-24T12:24:55.000Z, 99.257160
2018-08-24T12:44:55.000Z, 101.562460
2018-08-24T13:04:55.000Z, 99.801474
2018-08-24T13:24:55.000Z, 99.851477
2018-08-24T13:44:55.000Z, 99.897221
2018-08-24T14:04:55.000Z, 99.465828
2018-08-24T14:24:55.000Z, 104.136770
2018-08-24T14:44:55.000Z, 102.855132
2018-08-24T15:04:55.000Z, 100.399444
2018-08-24T15:24:55.000Z, 103.005244
