dateTime,spotID,lat,long,speed,dist,station,TOL_25,TOL_31.5,TOL_40,TOL_50,TOL_63,TOL_80,TOL_100,TOL_125,TOL_160,TOL_200,TOL_250,TOL_315,TOL_400,TOL_500,TOL_630,TOL_800,TOL_1000,TOL_1250,TOL_1600,TOL_2000,TOL_2500,TOL_3150,TOL_4000,TOL_5000,TOL_6300,TOL_8000,TOL_10000,TOL_12500,TOL_16000,TOL_20000
2018-08-16T09:20:00Z,0-2571609,38.8937,-126.71188,0.883842048,0.418597415,8,92.498272,89.363345,88.487662,88.284985,86.237928,85.538567,84.162141,84.086054,80.576109,78.333652,79.634282,81.419091,77.927828,77.359864,78.807887,78.445733,78.131114,78.005401,77.22449,76.404575,75.962087,75.565713,74.930079,73.940229,73.112802,72.553711,71.506465,70.693161,70.75137,68.251526
2018-08-16T10:00:00Z,0-2571609,38.89228,-126.71625,0.78541016,0.352780064,8,89.047176,87.938292,88.813527,89.294951,87.683995,86.81828,83.709616,81.271609,78.912885,76.657387,77.257675,77.004052,78.074141,78.21705,79.464069,80.376035,80.907653,81.135133,80.143755,78.872727,78.357576,78.207324,80.594297,80.599771,76.385454,75.403633,74.430201,74.149805,75.252772,74.855382
2018-08-16T10:20:00Z,0-2571609,38.89056,-126.72023,0.845747075,0.39350732,8,89.229278,88.927294,87.34211,89.91069,88.074724,87.061948,84.020255,80.481011,77.723049,76.234596,76.806893,76.931878,77.982637,78.061507,78.9577,79.418776,79.355626,79.283688,78.532243,77.743845,77.21955,76.891529,76.586183,75.577684,74.33617,73.705553,72.637045,71.877681,72.002564,69.608463
2018-08-16T11:00:00Z,0-2571609,38.88849,-126.72443,0.912351326,0.398139982,8,85.58798,86.472937,89.147492,88.294294,87.081649,86.510486,82.754207,79.452352,77.466348,75.74888,75.651139,76.205689,76.624051,76.904877,77.778722,78.357635,78.620126,78.514877,77.3885,76.163673,75.666083,75.3492,75.643127,75.021667,72.653114,71.733232,70.816812,70.264412,70.74777,68.592377
2018-08-16T11:20:00Z,0-2571609,38.88587,-126.72797,0.823511641,0.369893979,8,86.866584,88.169383,88.820409,88.255428,87.112542,86.358373,83.166689,80.919551,77.51464,76.440491,83.077889,76.45193,76.988711,76.810812,77.245243,77.812878,77.653312,77.469739,76.263395,75.071492,74.688433,74.287752,73.648136,72.631567,71.185199,70.374813,69.339174,68.522543,68.566205,66.040358
2018-08-16T12:00:00Z,0-2571609,38.88289,-126.73088,0.863262328,0.393983335,8,87.890528,89.479382,89.313765,89.428506,88.494117,86.598714,83.574669,80.967934,78.860862,77.472669,77.557322,77.455448,77.93756,77.485373,77.665529,77.878776,77.738756,77.055392,75.806889,74.403841,73.848645,73.486928,72.703566,71.674823,70.590405,70.020528,69.297019,69.606098,72.169786,71.825114
2018-08-16T12:20:00Z,0-2571609,38.87956,-126.73373,0.841651906,0.380146111,8,87.185712,87.033187,88.020535,88.651922,86.614456,86.155705,83.806409,80.911876,77.938227,77.398542,77.020033,77.230541,77.625266,76.722515,76.946976,77.075664,76.984017,76.675298,75.593757,73.890164,73.293229,72.900521,74.340489,73.007252,69.905789,68.825473,67.565025,66.845048,67.231522,65.071111
2018-08-16T13:00:00Z,0-2571609,38.87599,-126.73633,0.938484954,0.414758212,8,86.88574,86.053207,87.760242,87.978439,86.254042,84.841105,82.060658,79.299454,78.020871,76.51062,88.418035,77.47035,77.365959,78.036432,77.614571,77.687189,77.986384,77.602407,77.020245,76.030005,75.621747,75.402862,75.787388000000007,76.025917,73.305118,72.411998,71.289925,70.61501,70.950905,68.668291
2018-08-16T13:20:00Z,0-2571609,38.87191,-126.73865,0.881596739,0.422431771,8,85.577817,86.570307,87.087389,87.518359,86.410976,84.611919,82.001322,78.796715,78.188014,75.810816,80.790034,76.280259,75.715066,75.397788,75.387699,75.447681,75.318981,75.097172,74.531916,73.506781,72.879475,72.49164,71.60429,70.628585,69.712847,69.381513,68.42649,67.855364,68.918886,67.744349
2018-08-16T14:00:00Z,0-2571609,38.86795,-126.74013,0.966100871,0.436623922,8,84.715928,86.124493,87.569316,89.665469,87.823951,85.848525,83.20366,80.500448,78.989127,77.734003,83.988048,78.942929,78.008671,77.454942,77.461275,77.293042,76.185649,75.092749,74.320909,73.534564,72.832763,72.270863,71.474342,70.467623,69.874249,69.591337,68.506368,67.737259,67.534585,65.065011
